monthly_txn_volume,avg_txn_size,business_tenure_months,iot_device_uptime_pct,payment_consistency_score,industry_sector,monthly_revenue,num_employees,credit_approved,credit_limit,risk_tier
344,26871.87,10,85.99,0.407,manufacturing,500000.0,153,0,50000,HIGH
96,29667.35,53,91.64,0.8557,services,500000.0,112,0,50000,HIGH
371,29025.31,79,91.41,0.3315,retail,500000.0,6,1,342102,MEDIUM
448,4619.77,59,90.69,0.5575,retail,500000.0,11,0,50000,HIGH
459,43879.17,150,92.32,0.6699,manufacturing,500000.0,17,1,398332,LOW
432,13316.72,179,98.05,0.1296,fnb,500000.0,143,0,50000,HIGH
268,6519.27,48,86.61,0.6123,fnb,500000.0,16,1,367822,MEDIUM
435,44442.97,149,79.8,0.7452,tech,500000.0,56,1,376651,LOW
39,47784.79,123,100.0,0.4386,services,500000.0,66,1,360886,MEDIUM
210,43113.27,22,100.0,0.2985,retail,500000.0,164,0,50000,HIGH
85,40485.33,100,83.17,0.6418,fnb,500000.0,83,1,368086,MEDIUM
424,32779.34,98,93.09,0.6873,services,500000.0,166,1,389175,LOW
54,27565.33,158,100.0,0.2847,fnb,500000.0,75,0,50000,HIGH
364,4394.99,25,97.99,0.2015,retail,500000.0,127,0,50000,HIGH
392,20452.24,237,95.7,0.5043,services,500000.0,131,1,399891,LOW
6,18665.79,28,90.64,0.6386,retail,184080.01,18,1,170652,MEDIUM
394,13024.7,193,100.0,0.8222,manufacturing,500000.0,89,1,399399,LOW
58,36184.83,113,93.77,0.8265,manufacturing,500000.0,182,1,355272,MEDIUM
110,24818.99,45,87.88,0.5441,retail,500000.0,94,0,50000,HIGH
264,4098.26,68,98.97,0.3907,fnb,500000.0,17,0,50000,HIGH
314,11048.15,7,92.77,0.5043,fnb,500000.0,114,1,396636,MEDIUM
481,34178.78,49,94.8,0.485,services,500000.0,107,1,369513,MEDIUM
195,3852.74,137,93.63,0.8733,fnb,290858.87,99,0,50000,HIGH
406,42567.79,164,95.97,0.126,fnb,500000.0,13,1,341013,MEDIUM
222,24782.57,83,84.17,0.8473,tech,500000.0,63,1,359594,MEDIUM
48,24055.3,129,80.39,0.6575,retail,378201.38,14,1,286171,MEDIUM
166,29640.77,138,100.0,0.8267,tech,500000.0,187,1,344844,LOW
206,41242.81,164,94.0,0.8121,retail,500000.0,164,1,397314,LOW
450,17423.07,73,98.17,0.3644,fnb,500000.0,18,1,359699,MEDIUM
488,33916.91,237,77.92,0.5631,services,500000.0,133,1,401084,LOW
274,28308.31,46,100.0,0.7395,retail,500000.0,14,1,376421,MEDIUM
355,13388.06,106,87.83,0.359,retail,500000.0,25,1,331071,MEDIUM
308,43937.57,160,85.55,0.7121,fnb,500000.0,44,1,374957,MEDIUM
275,39881.43,32,91.49,0.8564,tech,500000.0,121,1,395133,LOW
460,32939.67,6,84.18,0.3889,fnb,500000.0,39,1,378105,MEDIUM
466,42536.56,176,91.99,0.7802,services,500000.0,140,1,374015,LOW
219,43371.35,166,90.91,0.7345,manufacturing,500000.0,104,1,375982,MEDIUM
256,35432.73,145,100.0,0.7056,manufacturing,500000.0,189,1,388108,LOW
194,41858.82,74,100.0,0.7628,manufacturing,500000.0,62,1,333439,MEDIUM
300,34888.7,114,100.0,0.8829,fnb,500000.0,53,1,393625,LOW
217,34023.03,27,73.88,0.6719,retail,500000.0,53,1,330713,MEDIUM
212,30949.64,54,84.52,0.3263,fnb,500000.0,156,0,50000,HIGH
241,37648.2,178,73.8,0.5962,retail,500000.0,163,1,391862,LOW
342,7972.33,163,82.45,0.5614,retail,500000.0,118,0,50000,HIGH
371,44049.49,85,86.8,0.5089,retail,500000.0,65,0,50000,HIGH
57,43598.58,127,95.28,0.7286,tech,500000.0,131,1,370766,LOW
284,1510.9,153,87.84,0.7632,tech,144621.88,43,0,50000,HIGH
414,41299.55,156,88.06,0.4595,retail,500000.0,50,1,410355,LOW
221,6487.05,111,93.45,0.8418,retail,500000.0,199,1,398119,LOW
256,16789.19,15,78.33,0.3605,retail,500000.0,137,0,50000,HIGH
192,37188.24,132,85.29,0.8019,fnb,500000.0,36,1,362162,MEDIUM
384,8079.96,93,87.97,0.7564,retail,500000.0,23,1,363305,LOW
497,40907.45,123,90.38,0.7266,tech,500000.0,74,1,420381,LOW
45,41615.1,73,92.62,0.6068,retail,500000.0,50,1,358078,MEDIUM
161,25398.01,155,100.0,0.5954,retail,500000.0,55,1,389269,MEDIUM
19,368.97,154,99.27,0.8518,retail,55183.22,125,0,50000,HIGH
305,14387.55,147,85.85,0.6832,tech,500000.0,12,1,415809,LOW
69,30865.5,92,89.91,0.6416,tech,500000.0,83,1,376041,MEDIUM
349,49060.25,17,89.36,0.496,manufacturing,500000.0,32,1,343706,MEDIUM
331,31609.09,43,87.89,0.5744,services,500000.0,152,0,50000,HIGH
13,13027.19,121,94.18,0.6347,retail,86387.42,86,0,50000,HIGH
348,31718.58,41,77.12,0.57,fnb,500000.0,195,1,346085,MEDIUM
133,27022.27,170,99.05,0.3311,services,500000.0,155,1,359010,MEDIUM
496,39003.28,178,100.0,0.8618,logistics,500000.0,189,1,403442,LOW
140,5393.68,212,89.84,0.7185,fnb,272145.65,19,0,50000,HIGH
476,38063.34,237,89.69,0.5659,fnb,500000.0,51,1,415442,LOW
67,27086.27,168,93.26,0.4225,services,500000.0,64,1,333245,MEDIUM
143,48151.45,39,100.0,0.6174,fnb,500000.0,130,0,50000,HIGH
85,17126.51,113,89.41,0.8096,services,441039.12,164,1,355600,LOW
396,31649.46,151,99.47,0.5743,fnb,500000.0,128,1,378883,LOW
167,46604.8,111,95.91,0.6286,retail,500000.0,139,1,349814,MEDIUM
423,5170.36,224,100.0,0.8272,fnb,500000.0,196,1,406920,LOW
293,46864.56,180,89.37,0.9755,tech,500000.0,196,1,396153,LOW
383,34409.89,47,76.19,0.6883,fnb,500000.0,64,0,50000,HIGH
265,3438.46,63,80.54,0.7108,fnb,447912.07,1,1,324685,MEDIUM
494,15083.13,225,92.1,0.7251,retail,500000.0,89,1,388375,LOW
235,35423.2,110,100.0,0.5856,manufacturing,500000.0,26,1,403508,LOW
45,3414.16,69,86.78,0.5963,logistics,45456.42,139,0,50000,HIGH
32,29129.41,43,90.15,0.5773,fnb,317242.8,87,0,50000,HIGH
139,17326.86,176,97.48,0.643,fnb,500000.0,2,1,376050,MEDIUM
205,31064.73,34,84.28,0.3994,tech,500000.0,93,0,50000,HIGH
332,2334.81,40,87.11,0.8485,manufacturing,316938.39,168,0,50000,HIGH
272,43583.26,203,82.66,0.81,services,500000.0,119,1,394543,LOW
422,48675.77,61,100.0,0.3581,fnb,500000.0,132,1,346391,MEDIUM
37,48445.45,178,100.0,0.6872,fnb,500000.0,80,1,386372,LOW
52,37495.11,195,79.36,0.7405,manufacturing,500000.0,111,0,50000,HIGH
411,6547.81,62,90.86,0.3853,services,500000.0,165,1,366236,LOW
66,37925.25,58,100.0,0.4338,services,500000.0,126,1,369032,MEDIUM
220,1278.12,161,95.19,0.5798,retail,232507.25,189,1,240389,MEDIUM
297,1155.07,75,88.09,0.7627,services,216006.61,5,1,160265,MEDIUM
103,16214.33,16,79.63,0.5414,logistics,500000.0,143,0,50000,HIGH
176,24457.73,82,100.0,0.4505,tech,500000.0,195,1,371891,MEDIUM
364,38531.85,94,94.88,0.4892,retail,500000.0,26,1,352802,MEDIUM
218,34180.6,48,80.22,0.103,manufacturing,500000.0,6,0,50000,HIGH
479,22322.84,138,100.0,0.7311,services,500000.0,123,1,399292,LOW
39,13717.65,82,79.2,0.5383,logistics,193716.62,44,1,168969,HIGH
453,49856.37,38,90.24,0.2709,logistics,500000.0,58,1,352660,MEDIUM
231,21337.76,127,89.88,0.859,tech,500000.0,81,1,378680,LOW
105,22596.78,19,100.0,0.8027,tech,500000.0,46,1,333747,MEDIUM
435,8223.01,164,89.91,0.6307,fnb,500000.0,102,1,406736,LOW
466,39750.74,187,89.88,0.6429,manufacturing,500000.0,170,1,419723,LOW
135,34699.43,63,81.1,0.6449,services,500000.0,48,0,50000,HIGH
261,11077.44,77,86.88,0.5556,retail,500000.0,114,0,50000,HIGH
9,4164.93,174,85.46,0.6756,retail,271422.73,155,1,234898,MEDIUM
222,34040.94,131,85.88,0.7717,retail,500000.0,20,1,381092,MEDIUM
259,32742.84,202,92.05,0.6286,logistics,500000.0,198,1,370355,LOW
402,13699.31,102,72.53,0.7242,fnb,500000.0,115,1,387680,LOW
363,47545.63,65,79.92,0.6144,logistics,500000.0,163,0,50000,HIGH
287,7595.34,120,91.11,0.8039,manufacturing,500000.0,76,1,388395,LOW
397,21645.12,91,92.97,0.1817,manufacturing,500000.0,176,1,353143,MEDIUM
211,47183.62,238,90.13,0.7404,fnb,500000.0,195,1,423973,LOW
19,21015.38,8,91.67,0.6905,services,127269.36,196,1,131393,HIGH
350,31944.37,179,88.73,0.6139,fnb,500000.0,121,1,400339,LOW
46,19909.84,238,91.85,0.7997,fnb,362709.37,180,0,50000,HIGH
384,13747.05,234,95.47,0.6699,logistics,500000.0,109,0,50000,HIGH
465,49199.68,209,95.42,0.9789,manufacturing,500000.0,68,1,420804,LOW
183,20496.23,73,86.49,0.3919,retail,500000.0,132,1,346283,MEDIUM
67,44710.26,134,99.32,0.4705,logistics,500000.0,167,1,338381,MEDIUM
356,11536.23,107,93.26,0.6907,retail,500000.0,149,1,374275,LOW
235,10694.58,89,100.0,0.9518,fnb,500000.0,66,1,398338,LOW
245,1605.15,39,100.0,0.8758,services,210730.75,144,0,50000,HIGH
56,32600.76,113,80.46,0.3018,retail,500000.0,135,1,331923,MEDIUM
100,18457.89,188,85.13,0.8017,manufacturing,500000.0,83,1,354362,LOW
392,43224.69,28,98.51,0.992,manufacturing,500000.0,9,1,391485,LOW
226,23686.83,97,78.68,0.6026,manufacturing,500000.0,17,1,382024,LOW
489,48411.26,182,100.0,0.3192,retail,500000.0,113,1,411516,LOW
411,9317.0,37,89.25,0.3784,fnb,500000.0,140,1,338188,MEDIUM
235,43437.73,137,96.6,0.8002,fnb,500000.0,185,1,379148,LOW
241,38841.01,82,91.07,0.2816,tech,500000.0,173,0,50000,HIGH
147,38557.55,56,80.86,0.8964,retail,500000.0,120,1,355910,MEDIUM
175,42246.92,187,100.0,0.194,services,500000.0,11,1,319404,MEDIUM
33,38063.15,85,100.0,0.8054,logistics,484988.15,141,1,400462,LOW
40,31329.71,2,87.88,0.657,logistics,374439.52,159,0,50000,HIGH
17,6605.68,189,89.42,0.8575,logistics,184870.92,26,1,223234,MEDIUM
164,1674.68,58,70.81,0.5498,tech,302692.74,63,0,50000,HIGH
331,46046.35,107,100.0,0.4993,fnb,500000.0,159,1,406114,LOW
191,30851.68,123,99.29,0.714,fnb,500000.0,22,1,358399,MEDIUM
247,39837.04,188,78.13,0.3475,retail,500000.0,134,1,341513,MEDIUM
90,24102.04,230,75.48,0.5777,retail,500000.0,148,1,372181,LOW
288,5909.54,168,76.41,0.5798,services,500000.0,10,1,380660,MEDIUM
70,6303.03,164,97.16,0.2211,retail,387963.51,83,1,277348,MEDIUM
174,34293.99,114,97.96,0.5323,manufacturing,500000.0,163,1,374310,MEDIUM
49,21543.78,107,84.61,0.8465,retail,500000.0,26,0,50000,HIGH
66,10066.21,37,95.99,0.9007,fnb,233535.68,71,0,50000,HIGH
445,24605.15,79,93.27,0.5052,manufacturing,500000.0,37,0,50000,HIGH
138,3257.24,92,89.06,0.7264,fnb,381558.01,136,1,310394,MEDIUM
288,29119.47,18,99.76,0.8212,manufacturing,500000.0,133,1,367047,LOW
32,13486.22,98,82.36,0.6754,tech,359870.0,172,0,50000,HIGH
112,39888.08,63,100.0,0.4144,logistics,500000.0,126,0,50000,HIGH
48,15552.58,150,86.17,0.4786,fnb,301373.71,115,1,261275,MEDIUM
344,22788.25,139,100.0,0.6155,tech,500000.0,92,1,405396,LOW
290,630.45,186,83.96,0.5576,retail,234749.17,195,1,251651,LOW
450,3668.72,185,89.19,0.9023,manufacturing,500000.0,200,1,427403,LOW
335,19655.05,205,92.47,0.3746,retail,500000.0,117,1,414358,LOW
132,24022.94,4,92.42,0.5571,retail,500000.0,49,0,50000,HIGH
352,30021.03,214,95.93,0.64,tech,500000.0,36,1,382558,LOW
477,14618.55,135,81.71,0.4887,fnb,500000.0,26,0,50000,HIGH
235,34764.35,61,91.7,0.5984,logistics,500000.0,45,0,50000,HIGH
194,43013.11,107,93.11,0.7268,fnb,500000.0,61,1,374339,MEDIUM
229,39003.56,54,87.78,0.403,logistics,500000.0,172,0,50000,HIGH
389,2028.96,88,95.23,0.484,tech,296852.84,132,1,298191,LOW
381,24051.32,68,81.23,0.714,services,500000.0,76,1,338477,MEDIUM
287,5291.26,220,89.39,0.5639,services,500000.0,58,1,407247,LOW
450,12140.15,207,85.97,0.3997,manufacturing,500000.0,105,1,357521,LOW
125,49333.8,129,89.41,0.8061,tech,500000.0,26,1,372102,LOW
120,7167.65,55,100.0,0.7108,fnb,343654.4,95,0,50000,HIGH
465,24969.46,3,100.0,0.6913,manufacturing,500000.0,79,1,382889,LOW
237,30926.88,206,100.0,0.2893,fnb,500000.0,128,1,365501,MEDIUM
263,35138.13,166,88.3,0.5175,retail,500000.0,157,1,375498,LOW
363,28004.45,121,99.26,0.3237,retail,500000.0,137,1,395794,MEDIUM
202,538.05,129,92.9,0.8288,manufacturing,229810.39,78,1,243661,LOW
460,16356.74,102,92.36,0.5344,logistics,500000.0,36,0,50000,HIGH
415,25909.7,38,91.38,0.7913,fnb,500000.0,132,1,398045,LOW
141,4438.93,85,100.0,0.7724,services,242219.57,59,0,50000,HIGH
322,17563.82,240,100.0,0.4604,manufacturing,500000.0,165,1,396652,LOW
169,1708.5,157,97.96,0.6836,fnb,372182.07,124,1,349897,LOW
229,3975.0,133,90.64,0.7595,tech,387560.52,88,1,299448,MEDIUM
311,19876.32,202,92.32,0.926,fnb,500000.0,81,1,402982,LOW
238,6679.15,92,96.24,0.4948,retail,500000.0,141,0,50000,HIGH
176,28398.67,21,87.83,0.5365,retail,500000.0,148,1,354571,MEDIUM
156,34488.78,199,99.51,0.672,logistics,500000.0,17,1,373064,LOW
467,40039.31,195,84.63,0.8185,tech,500000.0,51,1,398120,LOW
319,10047.5,109,95.13,0.5415,fnb,500000.0,55,1,385592,MEDIUM
378,8415.75,47,73.68,0.3511,retail,500000.0,161,0,50000,HIGH
164,5273.16,84,87.6,0.873,services,341768.34,149,1,281300,LOW
100,31839.69,83,100.0,0.7539,manufacturing,500000.0,81,0,50000,HIGH
476,35338.46,35,100.0,0.2286,manufacturing,500000.0,150,1,381068,MEDIUM
237,1627.73,196,100.0,0.6381,tech,344591.12,153,1,309413,LOW
184,46813.8,69,86.66,0.6545,logistics,500000.0,195,1,359188,MEDIUM
117,2645.97,129,92.83,0.7227,logistics,170827.06,110,0,50000,HIGH
322,27087.75,196,100.0,0.4916,services,500000.0,140,1,382630,LOW
446,35467.57,140,97.06,0.7795,fnb,500000.0,143,1,417318,LOW
56,43554.91,188,96.07,0.3946,manufacturing,500000.0,86,1,340493,MEDIUM
272,35718.64,27,100.0,0.4399,services,500000.0,2,0,50000,HIGH
299,40096.32,56,83.68,0.7404,fnb,500000.0,132,1,339049,MEDIUM
390,17005.54,234,90.53,0.8012,retail,500000.0,45,1,444475,LOW
391,40750.51,23,77.97,0.416,services,500000.0,13,0,50000,HIGH
117,4051.74,153,83.24,0.6619,services,259276.02,55,1,225317,MEDIUM
105,44746.09,21,100.0,0.6695,services,500000.0,160,1,371022,LOW
117,27402.24,61,84.66,0.8174,retail,500000.0,22,1,352670,MEDIUM
444,40874.02,63,97.88,0.7005,services,500000.0,89,1,377674,LOW
85,22643.3,122,100.0,0.6889,retail,500000.0,55,1,321166,MEDIUM
191,32196.71,52,90.58,0.8006,manufacturing,500000.0,145,1,391483,LOW
117,26343.81,88,96.16,0.7843,services,500000.0,198,1,367290,MEDIUM
6,36592.9,153,97.95,0.276,logistics,208535.57,179,0,50000,HIGH
134,4127.42,237,82.23,0.7202,logistics,371986.26,136,1,325176,LOW
224,3064.59,55,87.07,0.8611,manufacturing,279924.65,189,0,50000,HIGH
58,12392.81,46,83.97,0.202,manufacturing,232371.97,97,1,179053,HIGH
347,8019.26,32,87.71,0.8725,services,500000.0,138,1,352109,LOW
489,43595.59,55,97.73,0.3426,retail,500000.0,19,0,50000,HIGH
228,10999.74,96,87.24,0.5947,manufacturing,500000.0,128,0,50000,HIGH
229,48794.47,133,91.72,0.4937,services,500000.0,142,0,50000,HIGH
389,16877.94,36,83.66,0.7784,services,500000.0,67,1,377075,MEDIUM
407,9146.79,110,100.0,0.5855,fnb,500000.0,183,1,363565,LOW
130,39495.44,234,87.64,0.6603,tech,500000.0,61,1,390561,LOW
134,32952.45,177,100.0,0.5159,fnb,500000.0,184,0,50000,HIGH
57,24934.88,106,92.49,0.4079,fnb,500000.0,63,0,50000,HIGH
176,27790.41,58,80.74,0.713,tech,500000.0,105,1,336284,MEDIUM
222,35974.13,39,90.63,0.4491,logistics,500000.0,104,0,50000,HIGH
164,11461.31,80,83.5,0.688,retail,500000.0,139,1,362800,MEDIUM
202,49816.88,97,96.71,0.8215,tech,500000.0,175,0,50000,HIGH
420,48740.92,113,89.91,0.2297,fnb,500000.0,134,1,361893,MEDIUM
251,32533.77,213,93.31,0.7823,manufacturing,500000.0,34,1,374326,LOW
328,10017.15,61,89.05,0.1479,services,500000.0,193,1,378000,MEDIUM
443,34027.4,137,87.56,0.357,services,500000.0,99,1,379131,MEDIUM
207,3656.31,6,84.21,0.9026,manufacturing,369186.53,64,1,242199,MEDIUM
188,1581.09,109,98.69,0.8424,retail,294771.37,87,1,257997,MEDIUM
127,12921.26,35,90.61,0.7739,retail,500000.0,81,1,319343,MEDIUM
405,23158.02,39,89.48,0.4205,manufacturing,500000.0,66,0,50000,HIGH
259,43420.21,150,90.41,0.5784,fnb,500000.0,159,1,377222,LOW
298,36372.1,169,86.57,0.6053,tech,500000.0,83,1,390435,LOW
284,37148.19,118,89.51,0.6509,services,500000.0,190,1,371385,MEDIUM
329,21303.39,5,93.65,0.2486,retail,500000.0,182,1,346527,HIGH
376,17329.45,170,83.73,0.4589,manufacturing,500000.0,92,0,50000,HIGH
102,18583.39,87,84.89,0.4857,fnb,500000.0,136,1,347009,MEDIUM
202,49383.1,209,100.0,0.6824,retail,500000.0,170,1,380719,LOW
474,2053.45,76,89.1,0.7337,services,500000.0,169,1,403887,LOW
399,43358.22,215,87.59,0.4593,tech,500000.0,187,1,386511,LOW
244,28954.84,208,81.25,0.2731,fnb,500000.0,168,1,358307,MEDIUM
148,21958.84,195,98.81,0.4852,fnb,500000.0,150,0,50000,HIGH
101,36276.62,158,83.55,0.8361,services,500000.0,152,1,399236,LOW
205,24359.11,57,91.88,0.7956,retail,500000.0,38,1,358281,MEDIUM
128,43677.49,127,78.33,0.4332,retail,500000.0,130,1,402141,MEDIUM
191,45040.06,214,98.55,0.5299,logistics,500000.0,125,0,50000,HIGH
330,21114.96,201,100.0,0.7424,tech,500000.0,41,1,401931,LOW
468,13877.55,29,95.88,0.512,retail,500000.0,19,1,380554,MEDIUM
353,29637.9,239,79.72,0.4329,services,500000.0,105,0,50000,HIGH
263,45622.55,165,98.71,0.4491,tech,500000.0,130,1,396677,LOW
152,10572.58,87,85.38,0.895,retail,500000.0,92,1,383708,LOW
256,31167.18,141,82.63,0.45,retail,500000.0,96,1,365342,MEDIUM
447,31596.43,160,88.93,0.8027,tech,500000.0,62,1,414296,LOW
424,36669.0,46,88.77,0.5126,manufacturing,500000.0,16,1,345765,MEDIUM
407,6621.81,116,87.96,0.4222,retail,500000.0,94,0,50000,HIGH
350,35805.46,239,100.0,0.2677,fnb,500000.0,150,1,407481,LOW
455,45456.17,112,100.0,0.4676,retail,500000.0,142,1,377780,LOW
151,9025.17,151,81.05,0.6308,services,500000.0,116,1,360831,MEDIUM
152,11915.29,45,86.49,0.7708,logistics,500000.0,56,1,394819,MEDIUM
356,48571.18,145,93.14,0.493,services,500000.0,65,1,377278,MEDIUM
203,9089.8,104,88.89,0.2407,manufacturing,500000.0,173,1,348292,MEDIUM
312,42726.54,85,95.2,0.563,fnb,500000.0,54,1,373168,MEDIUM
493,24639.28,194,99.33,0.6971,retail,500000.0,194,1,395410,LOW
421,12399.19,229,97.99,0.8766,retail,500000.0,86,1,385807,LOW
428,43543.96,134,96.88,0.7624,logistics,500000.0,174,1,424776,LOW
132,22293.0,108,100.0,0.7973,manufacturing,500000.0,161,1,362089,LOW
43,25765.13,18,79.29,0.812,fnb,500000.0,50,0,50000,HIGH
342,17993.71,94,100.0,0.6153,fnb,500000.0,105,0,50000,HIGH
364,29667.9,150,88.7,0.659,logistics,500000.0,22,1,411356,LOW
133,8218.02,33,98.28,0.4258,services,323937.02,40,0,50000,HIGH
271,19584.52,158,83.76,0.3398,fnb,500000.0,39,1,367751,MEDIUM
480,48472.15,209,84.73,0.4338,fnb,500000.0,105,1,397109,LOW
445,12943.76,126,97.3,0.443,retail,500000.0,169,0,50000,HIGH
477,32854.0,235,76.57,0.8364,logistics,500000.0,68,1,424327,LOW
438,16293.24,160,99.92,0.756,services,500000.0,7,1,371729,LOW
155,38684.98,170,100.0,0.2754,manufacturing,500000.0,85,1,349248,MEDIUM
419,6587.14,206,93.42,0.6721,logistics,500000.0,199,1,413564,LOW
482,48492.56,122,93.13,0.655,tech,500000.0,132,1,404987,LOW
302,22716.79,138,85.33,0.207,fnb,500000.0,76,1,349394,MEDIUM
103,11840.72,239,97.4,0.7028,retail,500000.0,91,1,385277,LOW
267,3721.16,115,94.78,0.6327,services,500000.0,187,1,376922,MEDIUM
256,8529.41,164,84.63,0.9086,retail,500000.0,84,1,395724,LOW
148,26012.71,162,88.87,0.5988,logistics,500000.0,154,1,396349,LOW
350,16883.31,201,90.73,0.7187,logistics,500000.0,31,1,392214,LOW
116,41452.72,234,88.86,0.738,manufacturing,500000.0,99,1,375666,LOW
64,21572.83,28,81.1,0.5858,fnb,500000.0,197,0,50000,HIGH
373,12473.28,11,97.59,0.4273,retail,500000.0,52,0,50000,HIGH
